1684088135,-101,-289,-982
1684088175,-105,-299,-982
1684088215,-104,-301,-985
1684088255,-103,-299,-979
1684088295,-107,-287,-984
1684088335,-105,-295,-989
1684088375,-101,-294,-987
1684088415,-99,-301,-993
1684088455,-109,-292,-984
1684088495,-89,-285,-986
1684088535,-94,-289,-982
1684088575,-102,-284,-992
1684088615,-99,-296,-980
1684088655,-69,-54,-871
1684088695,-71,-229,-973
1684088735,-141,-150,-1078
1684088775,-93,-430,-770
1684088815,-115,-739,-928
1684088855,-47,-535,-1238
1684088895,-222,-281,-842
1684088935,-128,-305,-958
1684088975,-102,-288,-1010
1684089015,-126,-275,-990
1684089055,-121,-282,-1004
1684089095,-110,-261,-1012
1684089143,-106,-253,-983
1684089183,-84,-263,-982
1684089223,-117,-269,-990
1684089263,-100,-253,-983
1684089303,-132,-279,-988
1684089343,-105,-282,-1025
1684089383,-113,-271,-966
1684089423,-93,-288,-994
1684089463,-67,-311,-975
1684089503,-132,-291,-992
1684089543,-140,-294,-1006
1684089583,-123,-297,-1008
1684089623,-116,-315,-999
1684089663,-93,-281,-984
1684089703,-107,-297,-989
1684089743,-94,-299,-989
1684089783,-101,-294,-989
1684089823,-102,-292,-984
1684089863,-102,-305,-973
1684089903,-91,-294,-988
1684089943,-103,-287,-991
1684089983,-114,-290,-979
1684090023,-122,-294,-982
1684090063,-117,-293,-1005
1684090103,-119,-328,-1000
1684090155,-140,-261,-1001
1684090195,-119,-293,-981
1684090235,-97,-297,-1010
1684090275,-114,-290,-990
1684090315,-99,-288,-1006
1684090355,-67,-280,-989
1684090395,-71,-271,-980
1684090435,-56,-250,-954
1684090475,-114,-246,-979
1684090515,-129,-276,-981
1684090555,-138,-328,-969
1684090595,-81,-269,-1027
1684090635,-93,-279,-982
1684090675,-106,-250,-986
1684090715,-110,-283,-985
1684090755,-102,-300,-995
1684090795,-117,-286,-992
1684090835,-115,-288,-991
1684090875,-112,-278,-989
1684090915,-96,-261,-997
1684090955,-108,-279,-990
1684090995,-113,-276,-986
1684091035,-109,-270,-990
1684091075,-109,-280,-991
1684091115,-106,-287,-975
1684091167,-142,-267,-987
1684091207,-118,-278,-974
1684091247,-100,-267,-987
1684091287,-106,-284,-1010
1684091327,-116,-272,-979
1684091367,-128,-281,-983
1684091407,-116,-281,-1002
1684091447,-105,-281,-1003
1684091487,-130,-264,-987
1684091527,-41,-885,-866
1684091567,-11,-235,-956
1684091607,-144,-226,-982
1684091647,-132,-138,-1015
1684091687,-117,-114,-1005
1684091727,-117,-111,-1024
1684091767,-125,-185,-1006
1684091807,-138,-229,-1005
1684091847,-120,-216,-1006
1684091887,-111,-195,-995
1684091927,-114,-187,-987
1684091967,-127,-207,-1024
1684092007,-140,-224,-1002
1684092047,-141,-233,-993
1684092087,-131,-255,-1009
1684092127,-113,-224,-989
1684092178,-91,-183,-934
1684092218,-132,-192,-1021
1684092258,-155,-291,-974
1684092298,-153,-321,-1000
1684092338,-156,-267,-985
1684092378,-179,-138,-999
1684092418,-152,-50,-982
1684092458,-173,-175,-1013
1684092498,-142,-190,-1008
1684092538,-159,-87,-1033
1684092578,-160,-73,-1036
1684092618,-149,-72,-1062
1684092658,-159,-92,-1020
1684092698,-122,-32,-965
1684092738,-115,-35,-979
1684092778,-165,-20,-1111
1684092818,-153,-24,-1073
1684092858,-109,-23,-1023
1684092898,-73,-98,-1000
1684092938,-109,-115,-975
1684092978,-163,-53,-971
1684093018,-186,-12,-918
1684093058,-294,-169,-972
1684093098,-408,-221,-1101
1684093138,-326,-8,-820
1684093186,-351,-142,-921
1684093226,-532,-164,-980
1684093266,-382,-8,-921
1684093306,-331,-110,-1037
1684093346,-287,-132,-1118
1684093386,-210,-271,-1050
1684093426,-215,-259,-984
1684093466,-96,-276,-949
1684093506,-209,-253,-1210
1684093546,-161,-173,-1028
1684093586,-195,-269,-970
1684093626,-140,-354,-994
1684093666,-127,-348,-914
1684093706,-146,-386,-928
1684093746,-148,-498,-885
1684093786,-187,-421,-906
1684093826,-207,-375,-1067
1684093866,-349,-560,-1141
1684093906,-355,-171,-1128
1684093946,-578,-160,-1290
1684093986,-687,-235,-1379
1684094026,-710,-236,-1138
1684094066,-502,-270,-1070
1684094106,-305,-532,-633
1684094146,-387,-754,-869
1684094198,-315,-293,-477
1684094238,-222,-605,-713
1684094278,-172,-373,-378
1684094318,-124,-350,-468
1684094358,-230,-566,-317
1684094398,-427,-646,-34
1684094438,-597,-1145,-394
1684094478,-608,-613,-388
1684094518,-518,-891,-503
1684094558,-692,-665,-916
1684094598,-1151,-604,-931
1684094638,-1492,-979,-1291
1684094678,-1771,-855,-764
1684094718,-988,-1328,-798
1684094758,-1281,-1246,-699
1684094798,-879,-1285,-814
